index,age,name,num_victims,occupation,sex,last_words,age_range
0,36,Dan_Mendell,12,medical,0,,30
1,29,Juan_Rinez,2,professional criminal,0,,20
2,55,Robert_Milson,8,academia,0,,50
3,20,Peter_Thorton,3,None,0,,20
4,35,Alex_Timmons,7,law & order,0,"""Yes, I did it. Is that what you want to hear?""",30
5,54,Gene_Marshall,7,inspector,0,"""Have you ever watched someone burn alive?"" ",50
6,36,Cindy_Landon,3,performance,1,"""I'll f**** you if you let me go."" ",30
7,40,Coleman_Lindquist,29,None,0,,40
8,60,Max_Lindquist,29,None,0,,60
9,45,Rick_Jensen,1,None,0,,40
10,25,Jeff_Linder,None,None,0,,20
11,35,Renzo_Sandoval,None,None,0,,30
12,40,Carlos_Gutierrez,None,None,0,,40
13,35,Dylan_Maddock,None,None,0,,30
14,30,Robert_Thatcher,None,None,0,,30
15,40,Marcus_White,None,None,0,,40
16,35,Oscar_Sota,None,None,0,,30
17,35,Joseph_Cepeda,None,None,0,,30
18,40,Chad_Carpenter,None,None,0,,40
19,30,Shannon_Reynolds,None,None,1,,30
20,0,Anthony_Rodrigo,None,professional criminal,0,,0
21,0,Luke_Wellens,None,None,0,,0
22,0,Andy_Jorgen,None,None,0,,0
23,0,Rachel_Rhodes,None,None,1,,0
24,0,Kevin_Mott,None,None,0,,0
25,0,Jerry_Voltic,None,None,0,,0
26,0,Sean_Dibberman,None,None,0,,0
27,0,Berry_Cooper,None,None,0,,0
28,0,Herbert_Washington,None,None,0,,0
29,0,Jacob_Wilson,None,None,0,,0
30,0,George_Hoss,None,None,0,,0
31,0,Olman_Estavez,None,None,0,,0
32,0,Rick_Cross,None,None,0,,0
33,0,Peter_Matherson,None,None,0,,0
34,0,Alan_Elson,None,None,0,,0
35,0,Henry_Vortman,None,None,0,,0
36,0,Larry_Costes,None,None,0,,0
37,0,Marty_Terison,None,None,0,,0
38,40,Buck_Forester,None,None,0,,40
39,40,Alan_Matherson,None,None,0,,40
40,27,Thomas_Hillstat,None,None,0,,20
41,0,Larry_Mueller,None,None,0,,0
42,35,Leandro_Noriega,None,None,0,,30
43,0,Walter_Monroe,None,None,0,,0
44,30,Marcetti,None,None,0,,30
45,36,Rita_Bennett,None,sales,1,,30
46,42,Mike_Donovan,11,academia,0,"""I couldn't help myself, I couldn't please you have to understand"" ",40
47,29,Jamie_Jaworski,1,auto related,0,""" Ok, I did her...in a movie, a snuff film, but I'm not sorry.""",20
48,34,Matt_Chambers,3,None,0,"""I was set up... I didn't do anything. It was me... only it wasn't me. It was the booze... it takes me over. I'm sorry.. really i'm so sorry.""",30
49,36,Jorge_Castillo,4,auto related,0,"""We share the same dream. That's it""",30
50,35,Valerie_Castillo,4,None,1,"""We share the same dreams. That's it.""",30
51,46,Emmett_Meridian,3,medical,0,"None. Blamed the killings on ""mother issues"" ",40
52,37,Brian_Moser,15,medical,0,"""You're the one that needs setting free, little brother. Your life is a lie. People you've been....""",30
53,35,Little_Chino,13,professional criminal,0,"""You kill me, what do you leave behind?"" ",30
54,46,Roger_Hicks,2,sales,0,"""She is not worth it, you're better of without that c***!""",40
55,33,Ken_Olson,2,law & order,0,"""I knew you weren't going to kill me.""",30
56,57,Santos_Jimenez,4,owner,0,I'll fucking kill you,50
57,27,Jose_Garza,1,office work,0,,20
58,32,Teo_Famosa,None,professional criminal,0,,30
59,25,Esteban_Famosa,None,professional criminal,0,,20
60,38,James_Doakes,8,law & order,0,,30
61,31,Lila_West,2,art,1,"""Don't do this""",30
62,50,Cal_Rooney,2,performance,0,,50
63,26,Oscar_Prado,None,sports,0,"""Who are you?""",20
64,23,Fred_Bowman,2,professional criminal,0,"""no..last Sunday no...I was getting high with Sherry..or Carrie shes ah.. shes ah hell of a f""",20
65,34,Nathan_Marten,None,art,0,"""ugh.............""",30
66,35,Ethan_Turner,2,None,0,"""Hey..ugh-""",30
67,41,Clemson_Galt,6,"sanitation, mainenance & repair",0,"""No. You got me mixed up with somebody else"".",40
68,60,Camilla_Figg,None,law & order,1,"""You finally brought me the perfect pie"" and then, ",60
69,53,Miguel_Prado,4,law & order,0,"""You're a little freak! You think I'm done with you? You think this ends here? It doesnt!""",50
70,46,George_King,3,"sanitation, mainenance & repair",0,""" Let's hope your this talkative once I get my tools""",40
71,37,Benito_Gomez,2,sports,0,""" I know you""",30
72,34,Zoey_Kruger,3,law & order,1,you will choose your life over there's,30
73,33,Jonathan_Farrow,None,art,0,if they could thank me they fucking would because of my pictures those women will live on forver,30
74,59,Stan_Beaudry,1,auto related,0,you will be sorry that you ever crossed me,50
75,60,Arthur_Mitchell,267,academia,0," ""It's already over. Could you? Thank you."" ",60
76,35,Rankin,None,None,0,"""Well I'm sorry for your loss, But your dead wife can suck my ****!""",30
77,33,Boyd_Fowler,12,"sanitation, mainenance & repair",0,"""You don't know what you are getting into.""",30
78,36,Dan_Mendell,12,medical,0,"""There gonna find you. You C*nt.""",30
79,30,Lumen_Pierce,2,None,1,,30
80,34,Lance_Robinson,4,None,0,,30
81,36,Cole_Harmon,12,law & order,0,,30
82,56,Stan_Liddy,None,law & order,0,,50
83,36,Ben,2,medical,0,we were just trying to,30
84,42,Roger,2,medical,0,,40
85,36,Joe_Walker,1,owner,0,you cannot kill me for god is a mighty fortress and he will protect me,30
86,34,Julio_Benes,3,professional criminal,0,yeah i killed them so what you are a dead man my boys will fuck,30
87,73,Walter_Kenney,16,"sanitation, mainenance & repair",0,make sure they know who i am,70
88,26,Nick,1,auto related,0,sweet jesus,20
89,41,Norm,None,owner,0,you are a dead man,40
90,33,Steve_Dorsey,None,None,0,you are too late wormwood cannot be stopped,30
91,31,Beth_Dorsey,None,None,1,,30
93,30,Alberto,None,professional criminal,0,,30
94,60,Travis_Marshall,267,academia,0,i have faith i trust in gods plan this is not how it is suppose to be,60
95,29,Viktor_Baskov,2,professional criminal,0,get it over with,20
96,32,Ray_Speltzer,3,"sanitation, mainenance & repair",0,i am going to kill you,30
97,34,Unnamed_Hitman,None,professional criminal,0,i am not going halvies with anyone,30
98,35,Oleg_Mickic,16,professional criminal,0,,30
99,62,Clint_McKay,None,None,0,please you do not have to do this you got the devil inside you boy,60
100,64,Hector_Estrada,4,professional criminal,0,what are you,60
101,30,Andrew_Briggs,None,professional criminal,0,what the fuck,30
102,48,Ron_Galuzzo,2,sales,0,,40
103,30,A.J._Yates,6,"sanitation, mainenance & repair",0,,30
104,44,Oliver_Saxon,None,inspector,0,,40
105,32,Debra_Morgan,None,law & order,1,,30
106,50,Mary_Angel_of_Death,None,medical,1,"""I helped them, all of them. I took their pain away.""",50
